Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
26.31.240,252190,"Seal, lentoid",Marble Lentoid,Minoan,Late Minoan II--IIIA,ca. 1450--1375 B.C.,-1450,-1375,Crete,http://www.metmuseum.org/art/collection/search/252190
17.230.4,250542,Statuette of an athlete,Statuette of an athlete,Greek ?,Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/250542
1974.47.2,326146,Earring,Earring,Parthian,Parthian,ca. 1st century B.C.--1st century A.D. ,-100,100,Iran (?),http://www.metmuseum.org/art/collection/search/326146
17.194.427,249664,Pendant in the form of a jackal,Glass pendant,"Greek, Eastern Mediterranean",Hellenistic,late 2nd--1st century B.C.,-120,-1,Greece,http://www.metmuseum.org/art/collection/search/249664
17.194.298,249538,Jar,Glass jar,Roman,Late Imperial or Early Byzantine,4th--6th century A.D.,300,599,Italy,http://www.metmuseum.org/art/collection/search/249538
07.232.39,247656,Vase fragment,"Terracotta rim, handle, and upper body of a bowl",Minoan,Early Minoan II,ca. 2900--2300 B.C.,-2900,-2300,Crete,http://www.metmuseum.org/art/collection/search/247656
26.164.4,252569,Statuette of a seated woman,Terracotta statuette of a seated woman,"Greek, Asia Minor",Hellenistic,2nd--1st century B.C.,-175,-50,Greece,http://www.metmuseum.org/art/collection/search/252569
1991.171.51,256039,Bracelet with four rings,Bronze bracelet with four rings,Italic,Geometric,9th--8th century B.C.,-899,-700,Italy,http://www.metmuseum.org/art/collection/search/256039
74.51.2769,242320,Statue of a male votary,Limestone statue of a male votary,Cypriot,Late Hellenistic,2nd--1st century B.C.,-199,-1,Cyprus,http://www.metmuseum.org/art/collection/search/242320
74.51.3035,242468,Roundel,Gold roundel of bulbous form,Cypriot,Late Bronze Age,ca. 1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242468
81.10.191,245344,Jug,Glass spouted jug,Roman,Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/245344
64.11.9,255165,Plate,Terracotta plate,"Greek, South Italian, Apulian",Late Classical,ca. 350--325 B.C.,-350,-325,Italy,http://www.metmuseum.org/art/collection/search/255165
55.137.1,324440,Sistrum,Sistrum (rattle),Hattian,Early Bronze Age III,ca. 2300--2000 B.C.,-2300,-2000,Central Anatolia,http://www.metmuseum.org/art/collection/search/324440
74.51.3496,242931,Earring with head of lion,Gold earring with head of a lion,Greek,Classical or Hellenistic,4th?3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/242931
11.186.9,248510,"Cup, one-handled",Terracotta straight-sided cup,Minoan,Middle Minoan IB,ca. 1950--1900 B.C.,-1950,-1900,Crete,http://www.metmuseum.org/art/collection/search/248510
54.117.37,324349,Bowl,Palace Ware bowl,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324349
26.60.95,252559,"Cage cup, fragment",Glass cage cup fragment,Roman,Late Imperial,4th century A.D.,300,399,Italy,http://www.metmuseum.org/art/collection/search/252559
17.194.507,249743,Counter or inlay,Glass mosaic counter or inlay,"Roman, Egyptian",Imperial,ca. 3rd century A.D.,200,299,Egypt,http://www.metmuseum.org/art/collection/search/249743
"1978.11.12a, b",255626,Kylix fragments,Kylix fragments,"Greek, Attic",Archaic,ca. 510 B.C.,-510,-510,Greece,http://www.metmuseum.org/art/collection/search/255626
86.11.456,321833,Cuneiform tablet,Cuneiform tablet: fragment of a contract,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 7th--4th century B.C.,-700,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/321833
"25.78.39, .40",251796,"Earring with doves, pair",Pair of gold earrings with pendant doves,Greek,Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/251796
53.5.24,254749,Statuette of a woman,Terracotta statuette of a nude woman,"Greek, Cretan",Archaic,7th century B.C.,-699,-600,Greece,http://www.metmuseum.org/art/collection/search/254749
74.57.1,244782,Krater-amphora,Krater-amphora,Cypriot,Iron Age,ca. 1050--900 B.C.,-1050,-900,Cyprus,http://www.metmuseum.org/art/collection/search/244782
1972.118.172,255483,Unguentarium,Glass unguentarium (perfume bottle),"Greek, Eastern Mediterranean",Hellenistic,late 3rd--early 2nd century B.C.,-250,-150,Greece,http://www.metmuseum.org/art/collection/search/255483
96.9.300,246311,Statuette of a Lar,Bronze statuette of a dancing Lar,Roman,Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/246311
21.88.124,251117,Spear-point,Miniature bronze spearhead,"Etruscan, Vulci",Classical,5th century B.C.,-499,-400,Italy,http://www.metmuseum.org/art/collection/search/251117
74.51.686,240273,"Bowl, miniature","Bowl, miniature",Cypriot,Iron Age,,-1125,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240273
54.117.46,324404,Lamp,Lamp,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324404
"45.11.15, .16",254520,Earring with pendants of birds,Earring with pendants of birds,Greek,Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/254520
15.43.154,248930,Bottle in the form of a bird,Glass bottle in the form of a bird,Roman,Imperial,1st--3rd century A.D.,1,299,Italy,http://www.metmuseum.org/art/collection/search/248930
06.1021.239,247402,Neck-amphora,Terracotta neck-amphora (jar),"Greek, South Italian, Campanian",Late Classical,ca. 330--310 B.C.,-330,-300,Italy,http://www.metmuseum.org/art/collection/search/247402
74.51.1780,241335,Statue of a man on an ass,Terracotta statuette of a donkey and rider,Cypriot,Cypro-Archaic II,ca. 600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/241335
19.192.53,250786,Brazier,Terracotta brazier,Etruscan,Archaic,ca. 550 B.C.,-550,-550,Italy,http://www.metmuseum.org/art/collection/search/250786
28.57.12,252964,Lekythos,Terracotta lekythos (oil flask),"Greek, Attic",Late Archaic,ca. 490--480 B.C.,-490,-480,Greece,http://www.metmuseum.org/art/collection/search/252964
42.11.13,254456,"Intaglio, lentoid",Steatite engraved gem,Greek,Archaic,late 7th--late 6th century B.C.,-699,-500,Greece,http://www.metmuseum.org/art/collection/search/254456
1972.118.89,255402,Handle attachment with duck heads,Bronze handle attachment with duck heads,Roman,Late Republican or Augustan,1st century B.C.,-99,-1,Italy,http://www.metmuseum.org/art/collection/search/255402
86.11.437,322052,Cuneiform tablet,Cuneiform tablet: fragment of a litigation settlement,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 7th--4th century B.C.,-700,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/322052
17.194.278,249520,"Perfume bottle, marbled",Glass perfume bottle,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/249520
57.27.50,324643,Sherd,Rim sherd,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324643
22.139.85,251257,"Fibula, disk type",Bronze disc-type fibula (safety pin),Italic,Geometric,9th--8th century B.C.,-899,-700,Italy,http://www.metmuseum.org/art/collection/search/251257
15.1.1,248914,Painted glass fragment with hunt scene,Glass fragment with painted scene,Roman,Late Imperial,4th century A.D.,-30,364,Italy,http://www.metmuseum.org/art/collection/search/248914
74.51.793,240380,Askos in the form of an animal,Terracotta askos (vessel),Cypriot,Middle Cypriot,ca. 1900--1600 B.C.,-1900,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240380
74.51.4294,243706,Ring,Glass ring,Greek,Late Classical or Early Hellenistic,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/243706
57.27.61,324653,Bowl,Bowl sherd,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324653
17.194.768,249995,Oinochoe,Glass oinochoe (perfume jug),"Greek, Eastern Mediterranean",Late Classical or Hellenistic,4th--3rd century B.C.,-350,-200,Greece,http://www.metmuseum.org/art/collection/search/249995
57.27.63,324655,Bowl,Bowl sherd,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324655
74.51.385,239970,Bowl,Terracotta bowl,"Roman, Cypriot",Early Imperial,early 1st century A.D.,1,30,Cyprus,http://www.metmuseum.org/art/collection/search/239970
19.192.69,250802,Head of Hermes,Small marble herm of the Hermes by Alkamenes,Roman,Imperial,1st--2nd century,1,199,Italy,http://www.metmuseum.org/art/collection/search/250802
46.111.1,254552,Arrowhead,Flint arrowhead,Cretan,Neolithic or Late Minoan II,4th millennium B.C. or ca. 1450--1400 B.C.,-3999,-1400,Crete,http://www.metmuseum.org/art/collection/search/254552
2011.603.24,259168,Kylix fragment,Fragment of a terracotta kylix (drinking cup),"Greek, Attic",Archaic or Classical,late 6th or early 5th century B.C.,-525,-475,Greece,http://www.metmuseum.org/art/collection/search/259168
17.194.265,249508,"Bowl, mosaic, ribbed",Ribbed mosaic glass bowl,"Roman, probably Italian",Early Imperial,late 1st century B.C.--early 1st century A.D.,-30,30,Italy,http://www.metmuseum.org/art/collection/search/249508
17.194.28,249273,Intaglio of woman,Glass ring stone,Greek,Hellenistic,2nd--1st century B.C.,-199,-1,Greece,http://www.metmuseum.org/art/collection/search/249273
74.51.2643,242194,"Statue of a votary, female",Limestone statuette of a female votary holding a flower,Cypriot,Classical,late 5th or early 4th century B.C.,-420,-380,Cyprus,http://www.metmuseum.org/art/collection/search/242194
67.246.32,325913,Vessel,Unguentarium,Nabataean,Nabataean,ca. 1st century A.D.,1,100,Jordan,http://www.metmuseum.org/art/collection/search/325913
26.31.424,252347,Ornament,Gold ornament,Minoan,Late Minoan,ca. 1500--1400 B.C.,-1500,-1400,Crete,http://www.metmuseum.org/art/collection/search/252347
41.162.14,254181,Kantharos in the form of the heads of a satyr and a woman,Terracotta kantharos (drinking cup with high handles),"Greek, Attic",Archaic,ca. 500--490 B.C.,-500,-490,Greece,http://www.metmuseum.org/art/collection/search/254181
74.51.3331,242765,"Bead, control with lion head",Gold finial ending in a lion's head,Cypriot,Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/242765
11.217.25,322469,Cuneiform tablet,Cuneiform tablet: receipt of a kid,Neo-Sumerian,Ur III,ca. 2039 B.C.,-2039,-2039,Mesopotamia,http://www.metmuseum.org/art/collection/search/322469
08.258.9,248081,Horse hoof,Bronze hoof of a horse,tRoman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/248081
26.199.275,252838,Architectural fragment,Marble fragment of an Ionic column capital,Greek,Hellenistic,3rd--1st century B.C.,-300,-1,Greece,http://www.metmuseum.org/art/collection/search/252838
41.162.64c,254233,Volute-krater fragment,Volute-krater fragment,"Greek, Attic",Archaic,last quarter of 6th century B.C.,-525,-500,Greece,http://www.metmuseum.org/art/collection/search/254233
19.192.40,250772,Portrait head of a man,Marble portrait bust of a man,Roman,Imperial,Modern?,31,330,Italy,http://www.metmuseum.org/art/collection/search/250772
58.31.52,324789,Inlay,Inlay,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324789
58.31.53,324790,Inlay,Inlay,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324790
81.10.184,245338,Jug,Glass jug,"Roman, Rhenish",Late Imperial,3rd--4th century A.D.,200,399,Germany,http://www.metmuseum.org/art/collection/search/245338
96.9.34,246135,Neck-amphora,Neck-amphora,"Greek, Attic",Archaic,late 6th century B.C.,-550,-500,Greece,http://www.metmuseum.org/art/collection/search/246135
11.140.6,248492,"Calyx-krater, fragmentary",Fragment of a terracotta calyx-krater (bowl for mixing wine and water),"Greek, Attic",Archaic,ca. 510--500 B.C.,-510,-500,Greece,http://www.metmuseum.org/art/collection/search/248492
24.150.7,251555,Cup,Marble handleless cup,Minoan,Middle Minoan I--II,ca. 2000--1700 B.C.,-2000,-1700,Crete,http://www.metmuseum.org/art/collection/search/251555
26.31.160,252111,"Seal, lentoid","Seal, lentoid","Minoan, Crete",Late Minoan II--IIIA,ca. 1450--1375 B.C.,-1450,-1375,Crete,http://www.metmuseum.org/art/collection/search/252111
56.171.15,254873,"Neck-amphora, Tyrrhenian",Terracotta neck-amphora (storage jar),"Greek, Attic",Archaic,ca. 560 B.C.,-560,-560,Greece,http://www.metmuseum.org/art/collection/search/254873
19.192.81.12,250817,Volute-krater fragment,Volute-krater fragment,"Greek, South Italian, Apulian",Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/250817
42.11.43,254481,"Statue of Athena, fragmentary",Upper part of a marble statue of a woman,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/254481
13.229.2,248798,Torso of a boy,Marble torso of a boy,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/248798
30.115.34,253084,Alabastron,Glass alabastron (perfume bottle),Eastern Mediterranean or South Italian,Early Hellenistic,late 4th--early 3rd century B.C.,-330,-275,Greece,http://www.metmuseum.org/art/collection/search/253084
13.227.14,248794,Statuette of a woman,Terracotta statuette of a nude woman,"Greek, South Italian, Tarentine",Hellenistic,3rd century B.C.,-299,-200,Italy,http://www.metmuseum.org/art/collection/search/248794
74.51.475,240061,Kylix,Kylix,Cypriot,Cypro-Geometric III,850--750 B.C.,-850,-750,Cyprus,http://www.metmuseum.org/art/collection/search/240061
74.51.151,239736,Stirring rod,Glass stirring rod,Roman,Early to Mid Imperial,ca. 1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/239736
74.51.5650,244529,"Lamp, saucer-shaped",Bronze lamp,Cypriot,Cypro-Archaic--Cypro-Classical,6th--5th century B.C.,-599,-400,Cyprus,http://www.metmuseum.org/art/collection/search/244529
1999.289.4,257398,Dress ornament decorated with a palmette,Dress ornament decorated with a palmette,Greek,Classical,5th--4th century B.C.,-499,-300,Greece,http://www.metmuseum.org/art/collection/search/257398
74.51.1134,240721,Juglet,Juglet,Cypriot,Late Cypriot,,-1650,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240721
74.51.384,239969,Amphora,Terracotta amphora (storage jar),Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/239969
41.162.149,254321,Lekythos,Lekythos,"Greek, Attic",Classical,mid-5th century B.C.,-475,-425,Greece,http://www.metmuseum.org/art/collection/search/254321
91.1.1704,257054,"Fragment, mosaic",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257054
51.25.19,324133,Bed model,Bed model,Isin-Larsa--Old Babylonian,Isin-Larsa--Old Babylonian,ca. 1900--1600 B.C.,-1900,-1600,Mesopotamia,http://www.metmuseum.org/art/collection/search/324133
26.31.2,251954,Seal,Seal,Minoan,Early Minoan III,,-2600,-2000,Crete,http://www.metmuseum.org/art/collection/search/251954
1980.11.16,255684,Oinochoe,Silver oinochoe (pitcher),East Greek,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/255684
1985.28,255833,Kylix fragment,Kylix fragment,"Greek, Attic",Classical,ca. 470 B.C.,-470,-470,Greece,http://www.metmuseum.org/art/collection/search/255833
25.78.64,251844,"Statuette of Aphrodite, fragment",Marble statuette of Aphrodite,Greek,Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/251844
74.51.2711,242262,Statue of a votary,Limestone statuette of a beardless male votary with a wreath of leaves,Cypriot,Late Classical--Early Hellenistic,2nd half of the 5th or early 4th century B.C.,-450,-380,Cyprus,http://www.metmuseum.org/art/collection/search/242262
41.160.701,253824,Intaglio of woman,Carnelian oval,Greek,Hellenistic,2nd--1st century B.C.,-199,-1,Greece,http://www.metmuseum.org/art/collection/search/253824
1984.383.47,327008,Stamp seal,Scaraboid seal,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Northern Syria or southeastern Anatolia,http://www.metmuseum.org/art/collection/search/327008
68.126,255274,Alabastron,Terracotta alabastron (perfume vase),"Etruscan, Etrusco-Corinthian",Archaic,ca. 625--575 B.C.,-625,-575,Italy,http://www.metmuseum.org/art/collection/search/255274
23.119.24,251300,Vase fragment,Vase fragment,"Greek, Laconian",Helladic,,-2000,-1550,Greece,http://www.metmuseum.org/art/collection/search/251300
07.232.31,247648,Cup,Terracotta one-handled cup,Minoan,Late Minoan I,ca. 1600--1450 B.C.,-1600,-1450,Crete,http://www.metmuseum.org/art/collection/search/247648
91.1.1983,257183,"Fragment, mosaic",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257183
1999.325.63,327659,Cylinder seal,Cylinder seal and modern impression: male figure dominating human-headed winged lions,Assyrian,Neo-Assyrian,ca. 8th--7th century B.C.,-800,-600,Mesopotamia,http://www.metmuseum.org/art/collection/search/327659
74.51.702,240289,Amphoriskos,Amphoriskos,Cypriot,Cypro-Geometric III,850--750 B.C.,-850,-750,Cyprus,http://www.metmuseum.org/art/collection/search/240289
62.70.49a--c,325454,Inlay,Inlay,Sumerian,Early Dynastic IIIa,ca. 2600--2500 B.C.,-2600,-2500,Mesopotamia,http://www.metmuseum.org/art/collection/search/325454
74.51.4101,243513,"Ring, motto",Gold ring with inscribed bezel,Roman,Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/243513
99.35.447,246888,As of Nero,Bronze as of Nero,Roman,"Early Imperial, Neronian",A.D. 64--66,64,66,Italy,http://www.metmuseum.org/art/collection/search/246888
"37.129a, b",253553,Urn in the form of a cylindrical basket,Marble cinerary urn with lid,Roman,Early Imperial,ca. 10 B.C.--A.D. 10,-10,10,Italy,http://www.metmuseum.org/art/collection/search/253553
91.1.1817,257253,"Fragment, mosaic dish",Glass mosaic dish fragment,"Greek, Eastern Mediterranean",Late Hellenistic,2nd--mid-1st century B.C.,-199,-50,Greece,http://www.metmuseum.org/art/collection/search/257253
55.11.3,254817,Rhyton in the form of a man attacked by crocodile,Terracotta rhyton (vase for libations or drinking),"Greek, South Italian, Apulian",Late Classical,ca. 350--300 B.C.,-350,-300,Italy,http://www.metmuseum.org/art/collection/search/254817
17.194.787,250014,Alabastron,Glass alabastron (perfume bottle),"Greek, Eastern Mediterranean",Classical,5th century B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/250014
03.24.31,247100,"Kylix, lip-cup",Terracotta Little Master cup,"Greek, Attic, black-figure,",Archaic,ca. 565--550 B.C.,-565,-565,Greece,http://www.metmuseum.org/art/collection/search/247100
41.160.499,253727,Intaglio,Intaglio,Roman,Imperial,1st century B.C.--3rd century A.D.,-99,299,Italy,http://www.metmuseum.org/art/collection/search/253727
74.51.578,240165,Jug,Terracotta jug,Cypriot,Cypro-Archaic II,600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/240165
91.1.1239,245632,Amphoriskos,Glass amphoriskos (perfume bottle),"Greek, Eastern Mediterranean",Classical,late 6th--5th century B.C.,-525,-425,Greece,http://www.metmuseum.org/art/collection/search/245632
86.11.529,322083,Cuneiform tablet,"Cuneiform tablet: a-she-er gi-ta, balag to Innin/Ishtar",Seleucid or Parthian,Seleucid or Parthian,ca. 2nd--1st century B.C.,-200,-1,Mesopotamia,http://www.metmuseum.org/art/collection/search/322083
25.70.1,251792,Loutrophoros,Terracotta loutrophoros (ceremonial vase for water),"Greek, Attic",Archaic,last quarter of 6th century B.C.,-525,-500,Greece,http://www.metmuseum.org/art/collection/search/251792
74.51.608,240195,Bowl,Bowl,"Greek, Attic",Geometric,ca. 800 B.C.,-899,-800,Greece,http://www.metmuseum.org/art/collection/search/240195
86.11.246b,328896,Cuneiform tablet case,"Cuneiform tablet case impressed with cylinder seal, for cuneiform tablet 86.11.246a: receipt of reeds",Neo-Sumerian,Ur III,ca. 2040 B.C.,-2040,-2040,Mesopotamia,http://www.metmuseum.org/art/collection/search/328896
74.51.241,239826,Goblet,Glass goblet,Roman,Late Imperial or Early Byzantine,4th--6th century A.D.,300,599,Italy,http://www.metmuseum.org/art/collection/search/239826
06.1021.173,247336,Calyx-krater,Calyx-krate,"Greek, Attic",Classical,ca. 440 B.C.,-450,-430,Greece,http://www.metmuseum.org/art/collection/search/247336
74.51.716,240303,Krater,Krater,Cypriot,Iron Age,,-1125,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240303
67.11.14,255241,"Dish, stemmed",Terracotta stemmed dish,"Greek, Attic",Archaic or Classical,6th--5th century B.C.,-599,-400,Greece,http://www.metmuseum.org/art/collection/search/255241
74.51.2464,242017,Statue of Aphrodite with Eros,Limestone statue of Aphrodite holding winged Eros,Cypriot,Classical,late 4th century B.C.,-330,-300,Cyprus,http://www.metmuseum.org/art/collection/search/242017
74.51.4292,243704,Ring with gold foil,Rock crystal ring,Roman,Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/243704
74.51.2390,241944,Tablet of Sopatros,Marble plaque with epigram of Sopatros,"Roman, Cypriot",Imperial,ca. 2nd--3rd century A.D.,100,299,Cyprus,http://www.metmuseum.org/art/collection/search/241944
19.192.81.28,250834,Volute-krater fragment,Volute-krater fragment,"Greek, South Italian, Apulian",Late Classical,ca. 360--340 B.C.,-360,-340,Italy,http://www.metmuseum.org/art/collection/search/250834
57.27.65,324357,Armor,Armor plate,Assyrian,Neo-Assyrian,ca. late 8th--late 7th century B.C.,-721,-612,Mesopotamia,http://www.metmuseum.org/art/collection/search/324357
11.212.20,248601,Statuette of a girl,Terracotta statuette of a dancing woman,"Greek, South Italian, Tarentine",Hellenistic,3rd century B.C.,-299,-200,Italy,http://www.metmuseum.org/art/collection/search/248601
10.210.149,248436,"Head of a man, Dionysos ?",Terracotta head of a man,"Greek, South Italian, Tarentine",Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/248436
41.162.1,254168,Kylix,Terracotta kylix (drinking cup),"Greek, Attic",Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/254168
79.7.34,321554,Cuneiform tablet,"Cuneiform tablet: account record, inventory, Egibi archive",Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 6th century B.C.,-600,-500,Mesopotamia,http://www.metmuseum.org/art/collection/search/321554
39.157.4,323732,Earrings,Earrings,Parthian,Parthian,ca. A.D. 1st--2nd century,1,200,Iran or Mesopotamia,http://www.metmuseum.org/art/collection/search/323732
74.51.2024,241577,Lamp,Terracotta lamp with gladiator,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,40,Italy,http://www.metmuseum.org/art/collection/search/241577
26.31.399,252327,Spindle whorl,Stone spindle whorl,Minoan,Ealy Minoan III-Middle Bronze Age,ca. 2400--1600 B.C.,-2400,-1600,Crete,http://www.metmuseum.org/art/collection/search/252327
74.51.1800,241355,Model of a chariot with driver,Chariot group,Cypriot,Cypro-Archaic II,ca. 600--480 B.C.,-600,-480,Cyprus,http://www.metmuseum.org/art/collection/search/241355
74.51.739,240326,Juglet,Juglet,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240326
74.51.1775,241330,Statue of a man on a horse,Horse and rider,Cypriot,Cypro-Archaic I,ca. 750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/241330
41.162.219,254390,Skyphos,Skyphos,"Greek, South Italian, Apulian",Late Classical,ca. 325--300 B.C.,-325,-300,Italy,http://www.metmuseum.org/art/collection/search/254390
1977.234.12,326243,Bowl,Open bowl,Nabataean,Nabataean,ca. 1st century B.C.--1st century A.D. ,-100,100,Levant,http://www.metmuseum.org/art/collection/search/326243
74.51.1498a,241054,"Head of a figurine, comic",Head of a comic figurine,Cypriot,Cypro-Classical,5th--4th century B.C.,-499,-300,Cyprus,http://www.metmuseum.org/art/collection/search/241054
81.10.302,245453,Alabastron,Glass alabastron (perfume bottle),"Greek, Eastern Mediterranean or Italian",Late Classical or Hellenistic,mid-4th--early 3rd century B.C.,-350,-280,Greece,http://www.metmuseum.org/art/collection/search/245453
86.11.534,322088,Cuneiform tablet,"Cuneiform tablet: Utukku lemnutu, tablet 12",Seleucid,Seleucid,ca. late 1st millennium B.C.,-1000,-1,Mesopotamia,http://www.metmuseum.org/art/collection/search/322088
2013.1104.2,631230,Pestle/polisher,Shell pestle/polisher,Cycladic,Early Cycladic II,ca. 2700--2400 B.C.,-2705,-2695,Greece,http://www.metmuseum.org/art/collection/search/631230
58.31.33,324770,Armor,Armor plate,Assyrian,Neo-Assyrian,ca. late 8th--late 7th century B.C.,-720,-612,Mesopotamia,http://www.metmuseum.org/art/collection/search/324770
66.173,329074,Sculpture,Kneeling bull holding a spouted vessel,Proto-Elamite,Proto-Elamite,ca. 3100--2900 B.C.,-3100,-2900,Southwestern Iran,http://www.metmuseum.org/art/collection/search/329074
35.11.6,253486,Statuette of a woman,Terracotta statuette of a seated goddess,"Greek, Sicilian",Archaic,2nd half of the 6th century B.C.,-550,-500,Sicily,http://www.metmuseum.org/art/collection/search/253486
11.217.11,322455,Cuneiform tablet,Cuneiform tablet: receipt of two lambs,Neo-Sumerian,Ur III,ca. 2038 B.C.,-2038,-2038,Mesopotamia,http://www.metmuseum.org/art/collection/search/322455
10.230.2,248465,Relief of Boreas ?,Fragment of a bronze relief of a running figure,Greek,Archaic,6th century B.C.,-599,-500,Greece,http://www.metmuseum.org/art/collection/search/248465
15.43.142,248920,Dish,Glass dish,Roman,Late Imperial,3rd--4th century A.D.,200,399,Italy,http://www.metmuseum.org/art/collection/search/248920
59.107.28a--c,324920,Armor,Armor plates,Assyrian,Neo-Assyrian,ca. late 8th--late 7th century B.C.,-720,-612,Mesopotamia,http://www.metmuseum.org/art/collection/search/324920
05.44.574,247159,Coin,Coi,"Greek, Cretan",Hellenistic,2nd--1st century B.C.,-200,-1,Greece,http://www.metmuseum.org/art/collection/search/247159
1975.417,255549,Statuette of standing woman,Terracotta statuette of a standing woman,"Greek, Boeotian",Classical,ca. 450--400 B.C.,-450,-375,Greece,http://www.metmuseum.org/art/collection/search/255549
1983.535.92,326410,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326410
1991.171.50,256038,Belt,Bronze belt,"Italic, Samnite",Late Classical or Hellenistic,ca. 350--325 B.C.,-350,-325,Italy,http://www.metmuseum.org/art/collection/search/256038
74.51.757,240344,Vase,Terracotta globular flask,Mycenaean,Late Helladic III,ca. 1400--1050 B.C.,-1400,-1050,Greece,http://www.metmuseum.org/art/collection/search/240344
"13.227.9, .10",248782,"Furniture attachments, mules' heads",Two fulcra (headrest) attachments in the form of mule's heads,Greek,Hellenistic,ca. late 3rd--1st century B.C.,-225,-1,Greece,http://www.metmuseum.org/art/collection/search/248782
97.22.25,246701,Statue of a camillus,Bronze statue of a camillus (acolyte),Roman,"Early Imperial, Julio-Claudian",ca. A.D. 14--54,14,54,Italy,http://www.metmuseum.org/art/collection/search/246701
26.31.523,252442,Vase fragment,Vase fragment,Minoan,Early Minoan II,,-2600,-2000,Crete,http://www.metmuseum.org/art/collection/search/252442
